Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Product,Category,Quantity,Unit_Price,Sales_Amount,Payment_Mode,Order_Status
ORD00001,2025-02-22,CUST0280,Arun,Hyderabad,Telangana,Laptop,Electronics,2,52193.81,104387.62,Cash on Delivery,Delivered
ORD00002,2025-11-05,CUST0014,Meena,Kolkata,West Bengal,Laptop,Electronics,1,51905.02,51905.02,Credit Card,Cancelled
ORD00003,2025-03-23,CUST0217,Amit,Jaipur,Rajasthan,Mouse,Accessories,1,916.07,916.07,Debit Card,Delivered
ORD00004,2025-07-14,CUST0050,Pooja,Chennai,Tamil Nadu,Headphones,Accessories,4,2418.3,9673.2,Debit Card,Delivered
ORD00005,2025-03-05,CUST0194,Arun,Kochi,Kerala,Smartwatch,Accessories,3,5229.73,15689.19,Cash on Delivery,Cancelled
ORD00006,2025-04-09,CUST0036,Priya,Pune,Maharashtra,Backpack,Lifestyle,2,1930.21,3860.42,Credit Card,Cancelled
ORD00007,2025-05-23,CUST0233,Pooja,Pune,Maharashtra,Mobile Phone,Electronics,3,23612.53,70837.59,Credit Card,Delivered
ORD00008,2025-11-28,CUST0037,Swathi,Delhi,Delhi,Keyboard,Accessories,1,1716.11,1716.11,Credit Card,Returned
ORD00009,2025-11-24,CUST0286,Neha,Jaipur,Rajasthan,Power Bank,Accessories,1,1488.68,1488.68,Debit Card,Delivered
ORD00010,2025-05-18,CUST0034,Rahul,Bangalore,Karnataka,Headphones,Accessories,3,2652.52,7957.56,Cash on Delivery,Delivered
ORD00011,2025-08-23,CUST0074,Vijay,Delhi,Delhi,Headphones,Accessories,2,2447.82,4895.64,Credit Card,Returned
ORD00012,2025-08-08,CUST0299,Rohit,Mumbai,Maharashtra,Power Bank,Accessories,2,1428.82,2857.64,Debit Card,Cancelled
ORD00013,2025-02-26,CUST0079,Anjali,Mumbai,Maharashtra,Tablet,Electronics,1,16527.27,16527.27,Net Banking,Delivered
ORD00014,2025-09-28,CUST0129,Meena,Kochi,Kerala,Mobile Phone,Electronics,1,22421.91,22421.91,UPI,Delivered
ORD00015,2025-06-24,CUST0058,Sneha,Hyderabad,Telangana,Backpack,Lifestyle,3,1890.32,5670.96,Net Banking,Returned
ORD00016,2025-05-15,CUST0257,Anjali,Chennai,Tamil Nadu,Monitor,Electronics,1,14621.86,14621.86,Cash on Delivery,Returned
ORD00017,2025-04-12,CUST0079,Pooja,Hyderabad,Telangana,Backpack,Lifestyle,1,1850.02,1850.02,Credit Card,Cancelled
ORD00018,2025-01-10,CUST0058,Pooja,Jaipur,Rajasthan,Office Chair,Furniture,3,9178.1,27534.3,Debit Card,Delivered
ORD00019,2025-02-13,CUST0249,Arun,Mumbai,Maharashtra,Laptop,Electronics,1,55740.93,55740.93,Cash on Delivery,Delivered
ORD00020,2025-05-16,CUST0271,Swathi,Chennai,Tamil Nadu,Tablet,Electronics,2,19608.66,39217.32,Net Banking,Delivered
ORD00021,2025-06-09,CUST0205,Pooja,Mumbai,Maharashtra,Office Chair,Furniture,2,9341.76,18683.52,Net Banking,Returned
ORD00022,2025-01-11,CUST0284,Neha,Jaipur,Rajasthan,Monitor,Electronics,1,13229.15,13229.15,Cash on Delivery,Delivered
ORD00023,2025-02-04,CUST0017,Amit,Mumbai,Maharashtra,Laptop,Electronics,1,56442.13,56442.13,UPI,Delivered
ORD00024,2025-03-09,CUST0293,Aditya,Jaipur,Rajasthan,Headphones,Accessories,1,2492.71,2492.71,Net Banking,Cancelled
ORD00025,2025-12-04,CUST0221,Pooja,Mumbai,Maharashtra,Monitor,Electronics,3,13133.15,39399.45,Net Banking,Delivered
ORD00026,2025-11-27,CUST0051,Priya,Kolkata,West Bengal,Monitor,Electronics,3,12751.68,38255.04,Net Banking,Returned
ORD00027,2025-03-13,CUST0217,Anjali,Delhi,Delhi,Mobile Phone,Electronics,1,20636.92,20636.92,Debit Card,Delivered
ORD00028,2025-02-20,CUST0026,Meena,Ahmedabad,Gujarat,Headphones,Accessories,3,2287.69,6863.07,UPI,Cancelled
ORD00029,2025-07-25,CUST0031,Anjali,Hyderabad,Telangana,Headphones,Accessories,1,2492.82,2492.82,Net Banking,Delivered
ORD00030,2025-05-27,CUST0217,Meena,Bangalore,Karnataka,Mouse,Accessories,1,951.13,951.13,Net Banking,Delivered
ORD00031,2025-10-05,CUST0032,Amit,Chennai,Tamil Nadu,Headphones,Accessories,1,2734.35,2734.35,UPI,Cancelled
